picture_id,download_url,transcription,label,points,linking,label_id
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Weights,header,"[[404, 240], [461, 240], [461, 255], [404, 255]]","[[8, 68], [8, 73], [8, 72], [42, 8]]",8
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Tobacco Rod Length,question,"[[72, 280], [203, 280], [203, 291], [72, 291]]","[[43, 45], [45, 57]]",45
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Overall Cigarette Length,question,"[[73, 266], [249, 266], [249, 280], [73, 280]]","[[43, 44], [44, 56]]",44
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,64 mm,answer,"[[347, 280], [395, 280], [395, 293], [347, 293]]","[[45, 57]]",57
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,84 mm,answer,"[[350, 268], [395, 268], [395, 280], [350, 280]]","[[44, 56]]",56
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Total Cigt. Wt.,question,"[[407, 265], [513, 265], [513, 280], [407, 280]]","[[8, 68], [68, 69]]",68
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,974 mg,answer,"[[551, 266], [640, 266], [640, 281], [551, 281]]","[[68, 69]]",69
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Filter Plug Length,question,"[[72, 295], [203, 295], [203, 305], [72, 305]]","[[43, 46], [46, 58]]",46
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Filter Plug Pressure Drop (unencap.),question,"[[73, 305], [329, 305], [329, 320], [73, 320]]","[[43, 47], [47, 59]]",47
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,56 mm,answer,"[[347, 308], [397, 308], [397, 320], [347, 320]]","[[47, 59]]",59
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,20 mm,answer,"[[349, 296], [396, 296], [396, 307], [349, 307]]","[[46, 58]]",58
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Net Net Tobacco,question,"[[404, 295], [515, 295], [515, 308], [404, 308]]","[[8, 73], [73, 70]]",73
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,749 mg,answer,"[[557, 295], [636, 295], [636, 308], [557, 308]]","[[73, 70]]",70
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Cigarette Circumference,question,"[[70, 334], [240, 334], [240, 346], [70, 346]]","[[43, 49], [49, 61]]",49
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Filter Plug Pressure Drop encap.,question,"[[72, 320], [317, 320], [317, 332], [72, 332]]","[[43, 48], [48, 60]]",48
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,24.75 mm,answer,"[[343, 337], [393, 337], [393, 347], [343, 347]]","[[49, 61]]",61
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,56 mm,answer,"[[346, 322], [397, 322], [397, 334], [346, 334]]","[[48, 60]]",60
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Net Tob. Rod Density,question,"[[404, 320], [552, 320], [552, 334], [404, 334]]","[[8, 72], [72, 71]]",72
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,245 mg/cc,answer,"[[555, 320], [636, 320], [636, 335], [555, 335]]","[[72, 71]]",71
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Total Pressure Drop (unencap.),question,"[[72, 347], [287, 347], [287, 361], [72, 361]]","[[43, 50], [50, 62]]",50
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Total Pressure Drop (encap.),question,"[[73, 362], [274, 362], [274, 374], [73, 374]]","[[43, 51], [51, 63]]",51
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,110 mm,answer,"[[343, 362], [394, 362], [394, 374], [343, 374]]","[[51, 63]]",63
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,90 mm,answer,"[[349, 349], [395, 349], [395, 361], [349, 361]]","[[50, 62]]",62
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Tipping Length,question,"[[67, 377], [175, 377], [175, 387], [67, 387]]","[[43, 52], [52, 64]]",52
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Print Position (from filter end),question,"[[72, 391], [300, 391], [300, 402], [72, 402]]","[[43, 53], [53, 65]]",53
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,27 mm,answer,"[[349, 392], [395, 392], [395, 402], [349, 402]]","[[53, 65]]",65
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,25 mm,answer,"[[350, 377], [396, 377], [396, 391], [350, 391]]","[[52, 64]]",64
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Filter ventilation Rate,question,"[[73, 419], [238, 419], [238, 431], [73, 431]]","[[43, 55], [55, 67]]",55
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Moisture content (ex-catcher),question,"[[75, 404], [280, 404], [280, 417], [75, 417]]","[[43, 54], [54, 66]]",54
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,13.5 %,answer,"[[343, 404], [386, 404], [386, 416], [343, 416]]","[[54, 66]]",66
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Nil %,answer,"[[347, 416], [386, 416], [386, 430], [347, 430]]","[[55, 67]]",67
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Tipping and Tipping Application,question,"[[75, 445], [293, 445], [293, 460], [75, 460]]",[],74
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Supplier(s),question,"[[70, 488], [151, 488], [151, 498], [70, 498]]","[[75, 10], [10, 14]]",10
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Tipping Paper:,header,"[[73, 473], [172, 473], [172, 486], [73, 486]]","[[75, 10], [75, 76], [75, 11], [75, 78], [75, 79], [75, 12], [75, 80], [75, 82], [75, 83], [75, 13]]",75
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Ecusta,answer,"[[234, 488], [285, 488], [285, 500], [234, 500]]","[[10, 14]]",14
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Adhesive:,header,"[[377, 475], [441, 475], [441, 487], [377, 487]]","[[9, 88], [9, 89], [9, 18]]",9
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Supplier Code No(s).,question,"[[72, 501], [216, 501], [216, 513], [72, 513]]","[[75, 76], [76, 15]]",76
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,E.30639,answer,"[[235, 501], [287, 501], [287, 514], [235, 514]]","[[76, 15]]",15
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Supplier Code No (s),question,"[[376, 501], [521, 501], [521, 514], [376, 514]]","[[9, 89], [89, 90]]",89
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Supplier (s),question,"[[377, 488], [456, 488], [456, 502], [377, 502]]","[[9, 88], [88, 23]]",88
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Swift,answer,"[[476, 488], [515, 488], [515, 500], [476, 500]]","[[88, 23]]",23
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Color,question,"[[72, 513], [109, 513], [109, 525], [72, 525]]","[[75, 11], [11, 77]]",11
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Imitation Cork,answer,"[[222, 516], [323, 516], [323, 525], [222, 525]]","[[11, 77]]",77
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Type,question,"[[377, 515], [407, 515], [407, 527], [377, 527]]","[[9, 18], [18, 91]]",18
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Printed Imitation cork,answer,"[[418, 515], [580, 515], [580, 525], [418, 525]]","[[18, 91]]",91
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,T.K. 9220,answer,"[[527, 501], [585, 501], [585, 514], [527, 514]]","[[89, 90]]",90
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Perforation Type,question,"[[72, 528], [190, 528], [190, 541], [72, 541]]","[[75, 78], [75, 79], [78, 16], [79, 16]]",78
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Porosity,question,"[[72, 557], [135, 557], [135, 569], [72, 569]]","[[75, 12], [12, 17]]",12
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,and No. of lines,question,"[[87, 542], [204, 542], [204, 554], [87, 554]]","[[75, 78], [75, 79], [78, 16], [79, 16]]",79
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,None,answer,"[[228, 543], [259, 543], [259, 555], [228, 555]]","[[78, 16], [79, 16]]",16
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,(coresta),answer,"[[293, 558], [356, 558], [356, 567], [293, 567]]","[[12, 17]]",17
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Application Pattern:,header,"[[374, 543], [521, 543], [521, 556], [374, 556]]","[[92, 19], [92, 20]]",92
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Print Description,question,"[[75, 570], [196, 570], [196, 582], [75, 582]]","[[75, 80], [80, 81]]",80
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Brown on yellow,answer,"[[213, 572], [324, 572], [324, 584], [213, 584]]","[[80, 81]]",81
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Overall,question,"[[377, 558], [428, 558], [428, 568], [377, 568]]","[[92, 19], [19, 26]]",19
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,x,answer,"[[448, 558], [457, 558], [457, 567], [448, 567]]","[[19, 26]]",26
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,skip,question,"[[475, 558], [508, 558], [508, 570], [475, 570]]","[[92, 20]]",20
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Other,other,"[[554, 558], [591, 558], [591, 567], [554, 567]]",[],24
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Bobbin Width,question,"[[73, 585], [163, 585], [163, 595], [73, 595]]","[[75, 82], [82, 85]]",82
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Robbin Length,question,"[[73, 596], [169, 596], [169, 608], [73, 608]]","[[75, 83], [83, 86]]",83
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,50 mm mm,answer,"[[229, 584], [366, 584], [366, 597], [229, 597]]","[[82, 85]]",85
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,2700 m,answer,"[[229, 599], [358, 599], [358, 612], [229, 612]]","[[83, 86]]",86
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Glue Pree Area,question,"[[377, 585], [482, 585], [482, 597], [377, 597]]","[[93, 25]]",93
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Dimension,question,"[[377, 599], [443, 599], [443, 609], [377, 609]]","[[21, 95]]",21
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,N/A,answer,"[[494, 587], [522, 587], [522, 596], [494, 596]]","[[93, 25]]",25
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,substance,question,"[[73, 609], [140, 609], [140, 621], [73, 621]]","[[75, 13], [13, 84]]",13
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,36 gm/ m2,answer,"[[234, 612], [359, 612], [359, 625], [234, 625]]","[[13, 84]]",84
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Positioning,question,"[[377, 614], [458, 614], [458, 624], [377, 624]]","[[22, 94]]",22
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,mm x mm,answer,"[[510, 599], [630, 599], [630, 611], [510, 611]]","[[21, 95]]",95
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,mm from mouth end,answer,"[[510, 614], [636, 614], [636, 624], [510, 624]]","[[22, 94]]",94
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,(Indicate N/A If Not Applicable),other,"[[73, 638], [301, 638], [301, 651], [73, 651]]",[],87
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Prepared by:,question,"[[299, 656], [388, 656], [388, 666], [299, 666]]","[[96, 97]]",96
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,M. HAMERTON / enm,answer,"[[419, 656], [544, 656], [544, 668], [419, 668]]","[[96, 97]]",97
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Date:,question,"[[299, 683], [336, 683], [336, 693], [299, 693]]","[[27, 98]]",27
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,"May 1, 1985",answer,"[[419, 680], [498, 680], [498, 693], [419, 693]]","[[27, 98]]",98
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Approved by:,question,"[[299, 710], [388, 710], [388, 721], [299, 721]]","[[99, 100], [99, 101], [99, 102]]",99
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,"Director of Technical Operations,",answer,"[[391, 723], [627, 723], [627, 735], [391, 735]]","[[99, 100], [99, 101], [99, 102]]",100
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Date:,question,"[[72, 750], [108, 750], [108, 762], [72, 762]]","[[30, 103]]",30
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,"May 1, 1985",answer,"[[139, 747], [226, 747], [226, 764], [139, 764]]","[[30, 103]]",103
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Brown & Williamson International,answer,"[[391, 737], [621, 737], [621, 750], [391, 750]]","[[99, 100], [99, 101], [99, 102]]",101
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Tobacco,answer,"[[469, 753], [523, 753], [523, 762], [469, 762]]","[[99, 100], [99, 101], [99, 102]]",102
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Replaces:,question,"[[73, 777], [137, 777], [137, 789], [73, 789]]","[[31, 33]]",31
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,New,answer,"[[165, 777], [192, 777], [192, 789], [165, 789]]","[[31, 33]]",33
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Date:,question,"[[299, 778], [333, 778], [333, 788], [299, 788]]","[[28, 104]]",28
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,"May 1, 1985",answer,"[[410, 778], [493, 778], [493, 792], [410, 792]]","[[28, 104]]",104
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,05045,other,"[[72, 804], [111, 804], [111, 816], [72, 816]]",[],32
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,SERVICE REQUEST FROM R & D BY,header,"[[237, 94], [435, 94], [435, 109], [237, 109]]",[],12
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,INTERNATIONAL LICENSEE OPERATIONS,header,"[[214, 122], [455, 122], [455, 140], [214, 140]]",[],13
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,REQUEST NO.:,question,"[[60, 177], [149, 177], [149, 192], [60, 192]]","[[14, 15]]",14
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,25- 84,answer,"[[196, 177], [232, 177], [232, 194], [196, 194]]","[[14, 15]]",15
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,RECEIVED,question,"[[527, 162], [621, 162], [621, 189], [527, 189]]","[[11, 36], [11, 37]]",11
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,DATE:,question,"[[61, 207], [97, 207], [97, 221], [61, 221]]","[[0, 16]]",0
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,"March 27, 1984",answer,"[[191, 207], [299, 207], [299, 222], [191, 222]]","[[0, 16]]",16
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,APR 2 1984,answer,"[[531, 193], [623, 193], [623, 215], [531, 215]]","[[11, 36], [11, 37]]",36
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,INITIATED,question,"[[61, 235], [129, 235], [129, 249], [61, 249]]","[[1, 17]]",1
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,BY:,question,"[[134, 236], [156, 236], [156, 250], [134, 250]]","[[2, 17]]",2
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,P. H. HARPER PHH,answer,"[[193, 221], [346, 221], [346, 252], [193, 252]]","[[1, 17], [2, 17]]",17
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,P. H. H.,answer,"[[545, 226], [600, 226], [600, 248], [545, 248]]","[[11, 36], [11, 37]]",37
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,COMPLETION,question,"[[60, 261], [138, 261], [138, 276], [60, 276]]",[],3
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,TARGET DATE:,question,"[[74, 292], [164, 292], [164, 307], [74, 307]]","[[18, 19]]",18
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,"April 13, 1984",answer,"[[191, 292], [296, 292], [296, 308], [191, 308]]","[[18, 19]]",19
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,COUNTRY:,question,"[[59, 320], [119, 320], [119, 337], [59, 337]]","[[4, 6]]",4
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,BELGIUM,answer,"[[191, 321], [247, 321], [247, 335], [191, 335]]","[[4, 6]]",6
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,PRODUCT:,question,"[[59, 348], [119, 348], [119, 363], [59, 363]]","[[5, 20]]",5
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,LUCKY STRIKE Filter and VICEROY,answer,"[[193, 348], [422, 348], [422, 365], [193, 365]]","[[5, 20]]",20
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,NATURE OF WORK:,question,"[[59, 377], [167, 377], [167, 393], [59, 393]]","[[21, 22], [21, 23]]",21
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,Advise if locally obtained Yucatan Honey (sample,answer,"[[168, 404], [523, 404], [523, 422], [168, 422]]","[[21, 22], [21, 23]]",22
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,enclosed) is an acceptable substitute for HALWAY.,answer,"[[168, 422], [527, 422], [527, 437], [168, 437]]","[[21, 22], [21, 23]]",23
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,R & D COMMENTS:,question,"[[56, 462], [153, 462], [153, 477], [56, 477]]","[[24, 25], [24, 26]]",24
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,Target the ,answer,"[[183, 465], [358, 465], [358, 501], [183, 501]]","[[24, 25], [24, 26]]",25
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,P  A 29Mar 84,answer,"[[197, 489], [416, 489], [416, 540], [197, 540]]","[[24, 25], [24, 26]]",26
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,BY:,question,"[[56, 549], [80, 549], [80, 562], [56, 562]]",[],7
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,DATE:,question,"[[56, 591], [92, 591], [92, 604], [56, 604]]",[],8
0000990274,/root/download/FUNSD/training_data/images\0000990274.png,NOTES:,question,"[[54, 626], [100, 626], [100, 639], [54, 639]]","[[9, 27], [9, 28], [9, 29], [9, 30], [9, 31], [9, 32]]",9
